filename,width,height,class,xmin,ymin,xmax,ymax
oiuyio-52-_png.rf.1df622947ac98eaa51d3a357e6fe0e1d.jpg,864,480,polar-bear,61,113,172,225
wewe-332-_png.rf.1da9e3c8df209c0f183fbeaddbd45205.jpg,1920,1088,panda,512,132,1429,1064
dd-8-_PNG.rf.1dba37fe17a5fe6c82df166eedb1c83b.jpg,2532,1170,polar-bear,190,181,1251,1151
dd-8-_PNG.rf.1dba37fe17a5fe6c82df166eedb1c83b.jpg,2532,1170,polar-bear,1168,208,2427,1170
IMG_9017_PNG.rf.1de53473a77f7753481a7727fd779947.jpg,2532,1170,panda,895,246,2305,877
IMG_7545_png.rf.1dee6cf11e3adaf47c10b3e198be2805.jpg,2532,1170,panda,791,655,1413,1127
IMG_7545_png.rf.1dee6cf11e3adaf47c10b3e198be2805.jpg,2532,1170,panda,1069,20,1523,637
IMG_7545_png.rf.1dee6cf11e3adaf47c10b3e198be2805.jpg,2532,1170,panda,1538,311,2101,935
IMG_9594_PNG.rf.1df91fb45b6971a6cb23a6024c4d4843.jpg,2532,1170,polar-bear,741,736,1076,919
Screenshot-1171-_png.rf.1e05cbeae1bbf1d42b91e5d01fa2982c.jpg,1920,1080,eagle,279,74,1588,1078
IMG_9742_PNG.rf.1ee1852528ca17dce8f9ef9b08c0eaf3.jpg,2532,1170,polar-bear,1228,332,1995,885
sggf-12-_png.rf.1e12ac23fe87a6fadec1c2355b1b5c15.jpg,864,480,polar-bear,118,105,278,205
Screenshot-909-_png.rf.1e52b6a6617600fd2f981631309f5046.jpg,1920,1080,eagle,549,110,1061,343
Screenshot-909-_png.rf.1e52b6a6617600fd2f981631309f5046.jpg,1920,1080,eagle,430,378,1517,938
vv-37-_png.rf.1e926c2963d402f1662e63757d4e1e07.jpg,1920,1080,eagle,393,378,1401,878
Screenshot-1067-_png.rf.1f79acaf840146f9de70930f25e3e904.jpg,1920,1080,eagle,877,340,1096,658
dd-1-_PNG.rf.1eed2442ec835e352e7f189db7d2f7aa.jpg,2532,1170,polar-bear,924,59,2283,1133
IMG_8724_PNG.rf.1eeedb331b0c7f3daaf6c84a2ecea1bc.jpg,2532,1170,polar-bear,869,529,1963,787
wewe-342-_png.rf.1f594647033b9616c015eaf7e37e68b5.jpg,1920,1088,panda,651,73,1239,780
Screenshot-1214-_png.rf.1f6b6ec213580c9d0260bce34d39b3c1.jpg,1920,1080,panda,133,0,1920,1076
Screenshot-864-_png.rf.1e6bd82ab5d10536ba514d73a7f86f68.jpg,1920,1080,eagle,713,280,1323,693
dd-77-_PNG.rf.1e1e47e598113ef732e81e06021a8fc6.jpg,2532,1170,polar-bear,672,380,1325,763
dd-77-_PNG.rf.1e1e47e598113ef732e81e06021a8fc6.jpg,2532,1170,polar-bear,690,511,1098,803
dd-77-_PNG.rf.1e1e47e598113ef732e81e06021a8fc6.jpg,2532,1170,polar-bear,1651,568,2019,837
dd-77-_PNG.rf.1e1e47e598113ef732e81e06021a8fc6.jpg,2532,1170,polar-bear,1875,355,2235,849
asdfghjk-42-_png.rf.1e66c0c9f4e9cae01b6e0696e85d85f4.jpg,1920,1088,polar-bear,781,333,1318,849
ghjp-16-_png.rf.1f93de7c94d82da498063328988e7c86.jpg,1920,1088,panda,1433,543,1608,745
ghjp-16-_png.rf.1f93de7c94d82da498063328988e7c86.jpg,1920,1088,panda,1640,443,1803,646
fguuhg-62-_png.rf.1dc8a717a03bb61b938add12e344ab09.jpg,1920,1088,panda,793,503,995,751
fguuhg-62-_png.rf.1dc8a717a03bb61b938add12e344ab09.jpg,1920,1088,panda,1029,407,1186,618
vv-130-_png.rf.1feb5c8a1e241969bd19771fdb21c537.jpg,1920,1080,eagle,446,183,1920,834

vvv-143-_png.rf.1f975ac04776864d8725191354e85a66.jpg,1920,1080,eagle,175,141,1596,1080
cvb-59-_png.rf.1ffc8b5bf52d43f50f3e6b9762010cc9.jpg,1920,1088,panda,1135,398,1457,788
fdghg-14-_png.rf.205513fff0244aaffd115c60151b7210.jpg,1280,720,panda,720,162,830,235
